MSA,Date,zillowhousesales,Population,creditunion,mortgageloans,refinancing,home_homesforsale,homeshousescondo,realestate,realtorzillow,car,car_carsforsale,carautodealer,carloancalculator,car_autoloan,dmv,autotrader,flight,hotel,tripadvisor,unemploymentbenefits,glassdoorindeed,job,schoolclinic,walmart,starbucksapple,tripadvisor_expedia
Knoxville,2011-02-01,625,693328,85,34,16,77,75,36,22,83,74,71,30,69,23,55,51,60,30,25,26,62,67,43,49,37
Knoxville,2011-03-01,781,693852,71,48,7,74,73,31,26,73,67,65,35,69,24,63,40,60,26,14,33,66,63,38,55,48
Knoxville,2011-04-01,749,694377,69,42,13,74,69,31,26,74,64,71,22,76,21,64,37,55,34,19,20,64,64,35,50,27
Knoxville,2011-05-01,978,694901,68,47,18,79,78,34,22,96,92,91,35,82,21,57,44,70,43,0,34,69,63,40,52,33
Knoxville,2011-06-01,891,695426,76,43,8,77,75,37,33,84,77,76,8,82,24,64,54,80,49,25,40,68,48,44,55,53
Knoxville,2011-07-01,839,695950,71,52,15,85,73,40,33,78,75,71,29,78,24,60,43,82,52,29,27,67,54,43,57,47
Knoxville,2011-08-01,1014,696475,82,53,15,80,75,31,28,81,74,72,6,70,31,63,47,57,41,29,37,67,83,42,54,38
Knoxville,2011-09-01,876,696999,73,45,30,77,71,28,23,75,70,67,45,66,24,69,42,53,45,30,35,63,72,42,57,33
Knoxville,2011-10-01,855,697524,77,44,26,74,70,25,24,68,68,65,6,69,18,67,32,47,38,28,39,56,67,48,91,33
Knoxville,2011-11-01,757,698048,81,43,13,70,66,23,23,69,68,65,30,58,18,55,29,41,34,16,25,52,63,84,62,20
Knoxville,2011-12-01,811,698573,80,42,19,72,69,21,31,69,67,64,12,62,16,64,33,39,26,20,32,46,56,72,64,28
Knoxville,2012-01-01,657,699097,72,44,33,89,78,31,33,73,65,66,11,65,14,68,45,50,40,29,41,59,69,47,63,55
Knoxville,2012-02-01,713,711111,71,48,24,75,72,29,33,77,67,70,32,68,18,71,42,57,27,11,44,52,62,41,53,51
Knoxville,2012-03-01,887,723126,73,42,14,71,74,31,33,68,68,66,34,70,24,46,37,54,28,18,45,52,60,42,63,39
Knoxville,2012-04-01,951,735140,84,45,18,75,74,26,37,74,69,72,23,71,18,72,33,47,42,4,43,57,57,40,49,39
Knoxville,2012-05-01,1030,747154,70,47,26,77,71,29,39,76,83,83,11,78,22,45,39,63,39,34,43,57,64,44,53,53
Knoxville,2012-06-01,1012,759168,76,50,22,84,78,31,29,83,81,79,41,78,26,42,46,69,58,35,52,56,45,51,57,57
Knoxville,2012-07-01,609,771183,74,52,30,78,74,30,35,78,76,76,5,73,26,57,38,64,62,11,49,58,51,43,59,53
Knoxville,2012-08-01,771,783197,70,40,24,80,74,29,30,69,69,67,28,67,19,62,37,54,49,22,53,59,83,43,58,45
Knoxville,2012-09-01,580,795211,65,42,24,75,70,24,29,67,67,68,17,66,21,58,30,45,41,0,45,59,72,43,89,45
Knoxville,2012-10-01,665,807225,68,41,27,73,69,24,24,64,60,61,15,64,26,57,35,44,44,10,51,55,67,46,76,39
Knoxville,2012-11-01,857,819240,70,36,24,74,68,20,23,63,64,60,16,63,15,60,27,35,38,18,40,49,63,81,74,39
Knoxville,2012-12-01,882,831254,69,33,14,77,67,19,26,64,58,63,11,62,15,49,25,34,33,7,46,42,63,78,82,31
Knoxville,2013-01-01,748,843268,67,46,21,88,78,28,29,68,64,62,24,65,18,51,35,44,32,26,54,56,71,44,55,43
Knoxville,2013-02-01,758,843643,71,41,24,84,77,29,36,75,66,63,20,67,21,58,36,48,38,13,65,56,64,43,56,48
Knoxville,2013-03-01,851,844018,69,44,11,81,75,28,39,71,64,68,31,65,22,55,35,55,44,18,54,51,65,43,50,52
Knoxville,2013-04-01,1031,844392,63,39,22,80,80,26,37,67,65,66,14,64,20,47,30,52,47,16,55,60,62,40,49,47
Knoxville,2013-05-01,1150,844767,70,48,16,90,80,31,40,78,74,73,40,75,19,72,39,55,49,27,70,57,60,45,52,50
Knoxville,2013-06-01,1273,845142,76,41,17,90,86,30,42,74,71,69,26,75,20,76,40,66,62,24,67,59,42,47,56,60
Knoxville,2013-07-01,1292,845517,90,35,13,87,78,28,37,87,77,79,23,77,38,56,28,58,41,19,53,59,46,46,49,45
Knoxville,2013-08-01,1216,845891,71,42,10,83,74,26,48,78,75,73,13,74,31,56,34,49,53,22,64,64,77,50,57,49
Knoxville,2013-09-01,1110,846266,71,35,6,81,75,24,46,70,63,64,28,70,21,57,36,46,51,6,66,61,70,48,89,45
Knoxville,2013-10-01,1080,846641,81,25,7,79,72,21,26,78,68,65,21,63,29,53,26,42,34,24,56,56,61,47,64,29
Knoxville,2013-11-01,982,847016,61,24,7,77,71,22,38,63,65,67,5,65,12,51,30,34,41,9,46,52,64,82,78,45
Knoxville,2013-12-01,916,847390,74,26,8,84,67,20,32,71,70,69,30,67,22,53,28,38,45,12,55,45,51,80,71,41
Knoxville,2014-01-01,719,847765,64,44,6,90,82,27,44,73,71,70,25,67,27,65,37,45,47,47,65,59,83,45,65,52
Knoxville,2014-02-01,704,848131,83,39,9,90,79,23,45,84,75,73,21,72,24,64,40,46,28,28,63,50,66,44,54,48
Knoxville,2014-03-01,1098,848497,69,33,13,92,78,22,53,79,75,75,20,71,22,50,41,52,40,32,60,57,59,44,52,49
Knoxville,2014-04-01,1053,848864,67,31,11,87,79,25,49,72,70,71,36,72,25,52,38,51,50,29,64,57,60,40,51,44
Knoxville,2014-05-01,1268,849230,67,38,8,91,85,23,42,78,75,76,38,74,23,56,37,57,47,16,61,57,60,46,57,65
Knoxville,2014-06-01,1221,849596,63,33,4,95,84,25,52,81,74,75,11,77,19,64,40,67,68,26,63,65,40,47,60,72
Knoxville,2014-07-01,1405,849962,62,37,13,98,88,26,65,80,81,82,37,81,20,60,45,62,73,32,76,58,53,51,55,71
Knoxville,2014-08-01,1198,850328,69,34,15,86,76,22,53,76,76,77,26,76,24,51,31,49,71,3,68,57,75,49,67,66
Knoxville,2014-09-01,1100,850694,68,29,21,84,77,19,40,69,72,73,41,71,17,43,31,43,55,17,69,53,68,46,100,53
Knoxville,2014-10-01,1106,851061,69,34,7,81,75,21,48,65,69,68,19,64,20,40,33,45,36,13,67,49,62,46,77,46
Knoxville,2014-11-01,948,851427,57,29,5,84,72,15,36,65,68,63,29,65,19,49,27,39,37,13,54,49,60,84,79,33
Knoxville,2014-12-01,1140,851793,65,25,12,83,72,17,41,69,69,67,9,68,21,43,36,42,39,6,54,47,53,72,72,40
Knoxville,2015-01-01,777,852159,56,42,25,89,79,23,54,74,69,74,18,70,18,46,37,45,42,9,64,57,70,45,53,57
Knoxville,2015-02-01,792,852572,62,35,18,87,79,20,58,78,69,70,15,71,20,45,39,46,47,13,69,51,82,47,56,54
Knoxville,2015-03-01,1303,852984,63,48,19,90,79,25,59,79,78,77,19,74,24,47,43,52,61,3,63,60,66,43,65,52
Knoxville,2015-04-01,1191,853397,64,44,14,96,86,22,62,78,80,79,20,77,26,45,35,51,69,0,73,60,64,46,65,62
Knoxville,2015-05-01,1340,853810,63,38,22,97,87,24,64,83,81,81,37,77,30,47,41,61,59,14,63,50,60,48,67,71
Knoxville,2015-06-01,1607,854222,64,42,16,91,86,25,75,81,82,80,17,84,23,40,45,66,94,7,77,60,42,52,67,71
Knoxville,2015-07-01,1573,854635,70,33,11,99,87,24,68,80,74,77,16,75,23,33,41,68,79,14,73,56,56,56,65,75
Knoxville,2015-08-01,1452,855048,59,35,14,90,84,22,76,78,75,74,40,79,24,36,40,49,63,3,70,57,80,50,69,50
Knoxville,2015-09-01,1264,855460,55,32,10,83,75,18,61,70,73,73,29,68,23,33,38,42,45,6,58,53,67,46,84,58
Knoxville,2015-10-01,1274,855873,55,32,13,81,79,20,53,69,65,68,23,71,26,27,37,44,56,0,60,49,61,50,79,51
Knoxville,2015-11-01,894,856286,58,31,10,82,75,18,46,71,67,67,18,64,23,32,31,38,31,3,63,45,57,83,81,37
Knoxville,2015-12-01,1353,856698,66,23,6,84,79,16,43,71,74,74,23,73,20,28,40,40,32,12,52,45,48,77,77,38
Knoxville,2016-01-01,864,857111,56,34,15,95,85,17,54,81,74,74,27,73,21,28,41,45,37,12,61,55,69,46,61,38
Knoxville,2016-02-01,1037,857524,64,33,9,89,89,19,50,90,80,78,22,80,26,34,37,51,43,6,63,52,80,45,63,38
Knoxville,2016-03-01,1243,857936,61,36,24,93,93,24,53,100,94,88,23,83,22,27,48,72,47,8,55,55,52,45,62,45
Knoxville,2016-04-01,1122,858349,59,34,21,88,89,19,67,82,81,80,22,81,19,23,36,54,41,4,62,50,56,48,61,36
Knoxville,2016-05-01,1601,858762,63,31,20,98,87,21,63,89,88,86,15,83,29,37,46,63,50,4,66,55,54,49,60,50
Knoxville,2016-06-01,1720,859174,62,36,19,97,94,22,69,88,86,85,16,84,32,21,48,77,49,4,64,52,37,59,63,59
Knoxville,2016-07-01,1626,859587,56,36,19,95,94,19,63,89,84,88,18,80,28,22,46,69,63,6,57,51,51,60,66,60
Knoxville,2016-08-01,1546,860000,64,30,16,84,82,18,53,84,79,75,37,79,27,23,39,53,44,2,73,54,72,50,63,43
Knoxville,2016-09-01,1441,860412,58,29,8,82,82,17,55,82,77,79,41,79,23,24,38,46,28,2,60,50,61,54,86,39
Knoxville,2016-10-01,881,860825,58,26,12,83,85,16,46,79,72,72,20,77,24,26,40,54,30,2,58,49,55,56,77,36
Knoxville,2016-11-01,997,861238,56,25,8,81,76,14,44,73,70,70,17,72,23,19,35,43,25,6,48,44,56,83,82,28
Knoxville,2016-12-01,1192,861650,62,26,10,89,82,14,44,75,76,75,37,75,19,15,39,41,31,8,51,42,46,83,85,26
Knoxville,2017-01-01,962,,58,34,12,94,92,18,63,81,77,77,19,76,29,21,50,45,29,5,65,55,70,50,67,38
Knoxville,2017-02-01,1005,,66,31,16,93,89,19,72,87,80,80,42,84,33,25,44,51,34,2,66,52,60,52,62,44
Knoxville,2017-03-01,1473,,60,36,14,94,86,18,66,84,80,80,28,84,29,19,46,60,46,3,64,52,55,52,70,45
Knoxville,2017-04-01,1360,,62,31,11,97,89,18,71,86,82,80,16,83,25,26,49,53,43,5,60,48,54,57,70,35
Knoxville,2017-05-01,1725,,58,34,15,96,92,19,65,91,87,85,23,89,31,21,54,64,43,4,72,56,53,59,64,44
Knoxville,2017-06-01,1686,,62,33,16,98,95,21,67,90,92,88,17,90,38,22,56,73,51,0,67,57,35,61,67,47
Knoxville,2017-07-01,1594,,69,31,15,100,100,20,71,96,97,95,28,92,32,27,45,69,45,2,72,55,51,66,76,57
Knoxville,2017-08-01,1633,,66,32,10,90,88,19,69,89,86,85,30,84,23,24,47,50,38,8,74,55,71,57,70,46
Knoxville,2017-09-01,1359,,61,29,13,88,84,16,58,83,79,80,18,83,25,22,40,50,35,2,63,49,60,57,88,34
Knoxville,2017-10-01,1487,,62,32,14,89,85,14,59,82,80,80,25,80,26,19,38,53,40,7,75,49,51,58,87,37
Knoxville,2017-11-01,866,,55,28,15,94,84,14,58,74,72,77,25,75,22,18,39,40,29,13,58,45,49,94,95,30
Knoxville,2017-12-01,,,64,27,8,96,85,13,50,76,78,79,18,74,22,17,40,43,25,5,57,43,45,92,99,25
Lakeland,2007-01-01,,574746,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2007-02-01,,575233,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2007-03-01,,575721,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2007-04-01,,576208,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2007-05-01,,576695,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2007-06-01,,577183,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2007-07-01,,577670,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2007-08-01,,578157,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2007-09-01,,578645,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2007-10-01,,579132,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2007-11-01,,579619,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2007-12-01,,580107,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-01-01,,580594,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-02-01,,579433,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-03-01,531,578271,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-04-01,505,577110,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-05-01,541,575948,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-06-01,610,574787,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-07-01,599,573626,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-08-01,498,572464,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-09-01,572,571303,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-10-01,514,570141,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-11-01,373,568980,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2008-12-01,513,567818,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-01-01,458,566657,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-02-01,464,568612,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-03-01,636,570567,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-04-01,612,572522,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-05-01,661,574477,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-06-01,665,576432,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-07-01,646,578387,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-08-01,603,580341,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-09-01,579,582296,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-10-01,661,584251,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-11-01,605,586206,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2009-12-01,667,588161,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-01-01,595,590116,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-02-01,563,590804,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-03-01,724,591493,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-04-01,803,592181,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-05-01,781,592869,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-06-01,877,593558,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-07-01,778,594246,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-08-01,672,594934,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-09-01,656,595623,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-10-01,572,596311,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-11-01,613,596999,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2010-12-01,546,597688,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-01-01,636,598376,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-02-01,573,598892,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-03-01,824,599407,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-04-01,700,599923,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-05-01,549,600438,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-06-01,695,600954,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-07-01,597,601469,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-08-01,684,601985,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-09-01,554,602500,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-10-01,578,603016,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-11-01,566,603531,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2011-12-01,612,604047,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-01-01,448,604562,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-02-01,493,605040,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-03-01,648,605518,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-04-01,693,605995,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-05-01,675,606473,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-06-01,603,606951,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-07-01,690,607429,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-08-01,652,607906,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-09-01,525,608384,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-10-01,703,608862,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-11-01,676,609340,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2012-12-01,695,609817,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-01-01,641,610295,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-02-01,653,610881,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-03-01,758,611466,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-04-01,984,612052,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-05-01,816,612638,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-06-01,835,613223,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-07-01,759,613809,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-08-01,804,614395,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-09-01,747,614980,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-10-01,773,615566,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-11-01,618,616152,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2013-12-01,806,616737,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-01-01,633,617323,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-02-01,655,618102,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-03-01,755,618882,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-04-01,926,619661,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-05-01,962,620441,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-06-01,834,621220,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-07-01,850,622000,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-08-01,876,622779,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-09-01,866,623558,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-10-01,888,624338,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-11-01,713,625117,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2014-12-01,864,625897,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-01-01,691,626676,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-02-01,767,627594,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-03-01,1011,628512,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-04-01,1078,629430,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-05-01,990,630348,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-06-01,1168,631266,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-07-01,1068,632184,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-08-01,987,633101,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-09-01,973,634019,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-10-01,965,634937,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-11-01,792,635855,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2015-12-01,1018,636773,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-01-01,752,637691,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-02-01,851,638609,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-03-01,1086,639527,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-04-01,1105,640445,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-05-01,1095,641363,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-06-01,1336,642281,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-07-01,1144,643198,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-08-01,1168,644116,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-09-01,736,645034,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-10-01,979,645952,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-11-01,969,646870,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2016-12-01,1061,647788,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-01-01,705,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-02-01,835,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-03-01,1173,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-04-01,1012,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-05-01,1193,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-06-01,1106,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-07-01,1204,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-08-01,1220,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-09-01,777,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-10-01,1051,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-11-01,1062,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,2017-12-01,1001,,,,,,,,,,,,,,,,,,,,,,,,,
Nashville,2007-01-01,,1486442,25,67,16,67,73,57,20,68,65,61,45,59,28,12,23,80,15,15,1,51,68,22,46,28
Nashville,2007-02-01,,1489153,28,69,12,69,70,56,23,65,64,62,23,61,20,14,27,79,14,23,2,41,66,21,39,37
Nashville,2007-03-01,,1491864,25,81,27,63,68,52,22,68,64,68,0,66,24,18,26,83,12,0,2,48,60,22,37,30
Nashville,2007-04-01,,1494574,25,59,11,73,73,55,24,75,67,72,0,73,28,14,30,76,25,7,6,50,67,26,30,33
Nashville,2007-05-01,,1497285,27,68,7,68,72,60,25,86,75,82,10,83,22,9,40,87,19,13,4,51,63,24,35,27
Nashville,2007-06-01,,1499996,31,68,12,80,77,64,32,76,73,76,34,76,21,12,36,94,23,7,5,53,45,26,35,40
Nashville,2007-07-01,,1502707,32,72,23,76,78,68,27,84,73,73,22,79,28,21,41,86,18,14,3,50,59,27,38,31
Nashville,2007-08-01,,1505417,31,77,14,70,72,54,19,81,64,64,0,73,25,16,30,81,16,6,4,59,81,27,36,29
Nashville,2007-09-01,,1508128,27,70,13,67,66,50,14,63,60,59,0,59,24,16,27,71,12,0,2,50,71,24,44,27
Nashville,2007-10-01,,1510839,24,46,12,61,69,42,16,70,67,69,18,64,21,15,32,71,11,6,5,49,65,23,48,29
Nashville,2007-11-01,,1513550,29,62,12,59,63,40,15,72,69,67,0,63,23,19,29,66,14,12,3,45,63,44,47,35
Nashville,2007-12-01,,1516260,26,50,27,62,64,37,15,60,61,58,19,66,17,21,31,70,9,0,4,36,57,41,53,26
Nashville,2008-01-01,,1518971,32,97,29,73,70,46,21,71,67,67,25,67,20,28,41,78,18,11,10,60,68,26,51,25
Nashville,2008-02-01,,1519111,28,84,30,64,69,45,16,70,63,67,8,69,22,20,38,79,19,6,3,55,72,24,41,33
Nashville,2008-03-01,2293,1519251,28,89,21,67,74,45,20,75,65,66,17,75,19,15,36,82,18,6,5,55,64,24,37,28
Nashville,2008-04-01,2445,1519391,33,70,12,66,68,44,14,72,66,67,16,68,23,19,33,79,20,0,7,59,64,24,41,34
Nashville,2008-05-01,2501,1519530,27,58,16,66,70,42,20,81,75,80,9,73,22,20,33,82,15,12,10,58,64,27,42,38
Nashville,2008-06-01,2711,1519670,25,70,20,73,73,51,20,83,80,89,10,89,26,30,44,95,19,12,11,61,50,31,41,35
Nashville,2008-07-01,2715,1519810,34,50,9,79,78,44,22,75,80,80,0,75,28,23,32,88,18,12,17,63,60,30,49,42
Nashville,2008-08-01,2409,1519950,30,51,24,70,69,43,22,78,75,70,0,73,29,18,32,74,21,23,13,62,77,26,44,32
Nashville,2008-09-01,2142,1520090,33,60,14,60,67,38,17,66,59,63,8,60,27,33,25,69,15,21,7,64,70,24,43,30
Nashville,2008-10-01,1981,1520230,33,50,13,61,67,33,14,64,58,62,15,59,30,19,32,65,10,20,10,60,69,28,45,29
Nashville,2008-11-01,1439,1520369,32,66,11,59,63,30,15,58,60,58,8,56,16,30,29,60,11,32,9,60,67,47,46,27
Nashville,2008-12-01,1535,1520509,39,82,44,67,64,32,15,70,69,68,8,60,17,18,34,62,11,10,9,54,62,53,49,25
Nashville,2009-01-01,1252,1520649,35,90,46,75,73,37,13,71,65,63,29,69,23,32,34,68,25,56,15,77,72,31,39,35
Nashville,2009-02-01,1410,1522390,35,80,21,68,69,38,19,72,70,67,0,71,18,29,40,69,19,62,13,64,67,24,39,37
Nashville,2009-03-01,1727,1524131,36,94,54,82,70,37,22,74,70,69,14,70,18,38,38,75,23,62,15,65,71,29,39,36
Nashville,2009-04-01,1889,1525872,36,67,49,70,73,39,20,68,62,66,27,69,22,22,37,63,24,13,13,59,65,25,39,23
Nashville,2009-05-01,1931,1527613,28,69,23,72,75,43,25,80,82,78,7,71,25,20,39,75,20,38,13,68,68,33,34,23
Nashville,2009-06-01,2412,1529354,37,71,30,77,77,42,20,84,80,82,38,75,25,30,46,92,27,40,13,72,49,32,46,33
Nashville,2009-07-01,2453,1531095,40,69,16,82,76,41,26,84,81,80,7,79,25,29,43,94,23,82,15,69,60,28,39,39
Nashville,2009-08-01,2262,1532836,35,61,17,70,71,43,20,80,78,79,21,75,26,33,38,72,27,69,20,72,85,27,46,28
Nashville,2009-09-01,2232,1534577,35,52,12,67,65,33,20,67,64,66,20,69,20,35,39,72,18,21,17,69,82,31,48,29
Nashville,2009-10-01,2330,1536318,38,52,18,65,73,32,17,72,71,67,6,66,24,25,41,70,31,38,15,63,77,29,47,30
Nashville,2009-11-01,2188,1538059,39,50,26,71,69,31,16,71,68,71,7,67,18,23,36,60,11,65,19,64,71,54,47,21
Nashville,2009-12-01,1982,1539800,41,48,21,67,66,28,16,71,66,70,7,64,21,20,38,58,12,17,14,53,58,54,46,23
Nashville,2010-01-01,1328,1541541,42,60,21,74,72,37,20,69,69,63,12,64,19,27,42,66,16,23,21,76,75,32,52,34
Nashville,2010-02-01,1451,1543868,47,51,26,74,70,38,21,77,73,72,12,66,21,30,45,74,17,48,22,66,79,28,40,42
Nashville,2010-03-01,2239,1546196,45,58,20,75,70,37,25,77,72,69,6,68,29,39,46,80,25,48,21,69,69,29,39,32
Nashville,2010-04-01,2371,1548523,39,48,24,71,73,36,18,73,72,72,34,70,23,20,41,69,26,44,21,65,69,29,42,33
Nashville,2010-05-01,2438,1550851,43,44,24,70,76,33,23,74,70,71,0,73,25,39,43,79,23,38,23,69,73,33,40,33
Nashville,2010-06-01,2751,1553178,50,70,23,79,76,38,18,80,77,74,12,82,31,37,48,85,30,63,25,70,51,33,53,40
